<fontsymbol>Ñ</fontsymbol>	∇
<fontsymbol>Õ</fontsymbol>	∏
<fontsymbol>Ö</fontsymbol>	√
<fontsymbol>×</fontsymbol>	⋅
<fontsymbol>Ù</fontsymbol>	∧
<fontsymbol>Ú</fontsymbol>	∨
<fontsymbol>å</fontsymbol>	∑
<fontsymbol>ò</fontsymbol>	∫
<fontsymbol>½</fontsymbol>	⏐
<fontsymbol>¾</fontsymbol>	⎯
<fontsymbol>á</fontsymbol>	〈
<fontsymbol>æ</fontsymbol>	⎛
<fontsymbol>ç</fontsymbol>	⎜
<fontsymbol>è</fontsymbol>	⎝
<fontsymbol>é</fontsymbol>	⎡
<fontsymbol>ê</fontsymbol>	⎢
<fontsymbol>ë</fontsymbol>	⎣
<fontsymbol>ì</fontsymbol>	⎧
<fontsymbol>í</fontsymbol>	⎨
<fontsymbol>î</fontsymbol>	⎩
<fontsymbol>ï</fontsymbol>	⎪
<fontsymbol>ñ</fontsymbol>	〉
<fontsymbol>ó</fontsymbol>	⌠
<fontsymbol>ô</fontsymbol>	⎮
<fontsymbol>õ</fontsymbol>	⌡
<fontsymbol>ö</fontsymbol>	⎞
<fontsymbol>÷</fontsymbol>	⎟
<fontsymbol>ø</fontsymbol>	⎠
<fontsymbol>ù</fontsymbol>	⎤
<fontsymbol>ú</fontsymbol>	⎥
<fontsymbol>û</fontsymbol>	⎦
<fontsymbol>ü</fontsymbol>	⎫
<fontsymbol>ý</fontsymbol>	⎬
<fontsymbol>þ</fontsymbol>	⎭
<fontsymbol>à</fontsymbol>	◊
<fontsymbol>§</fontsymbol>	♣
<fontsymbol>¨</fontsymbol>	♦
<fontsymbol>©</fontsymbol>	♥
<fontsymbol>ª</fontsymbol>	♠
